data;
param ndim := 2;
param nmes := 139;          
param meas: 1 2 :=
1	2.9091	15.909
2	2.4	26.75
3	1.7273	37.727
4	1	48.5
5	3.4074	116.07
6	2.7059	126.71
7	4.2759	4.5862
8	4.5	105
9	5.8095	94.048
10	7	83
11	8	72
12	9.4348	60.913
13	10.75	49.95
14	11.826	39
15	12.909	27.909
16	13.4	127.2
17	14.091	16.909
18	14.565	117.17
19	15.423	5.8462
20	15.727	106.05
21	17	95
22	18.158	84.158
23	19.5	73.222
24	20.5	62
25	22	51
26	23	40
27	24.091	28.909
28	25.136	18
29	24.6	127.8
30	26.625	6.7917
31	25.762	118.62
32	27.091	107.09
33	28	96.5
34	29.375	85.25
35	30.588	74.118
36	31.529	63.353
37	32.842	52.158
38	34.211	41
39	35.565	30.087
40	36.81	19.143
41	37.087	119.78
42	38	8
43	38.545	108.14
44	39.471	97.647
45	40.75	86.375
46	41.6	75.6
47	43.235	64.235
48	44.222	53.5
49	45.611	42.333
50	46.556	31.111
51	47.9	20.3
52	48.273	120.68
53	49.318	9.1364
54	49.842	109.84
55	50.75	98.75
56	51.75	87.625
57	53.5	76.778
58	54.4	65.4
59	55.375	54.438
60	56.9	43.3
61	57.95	32.1
62	59.158	21.158
63	60.381	10.238
64	59.826	122
65	60.952	110.81
66	61.5	1.3333
67	61.842	99.842
68	63.286	88.5
69	64.471	77.647
70	65.611	66.667
71	66.882	55.588
72	68.118	44.412
73	69.1	33.3
74	70.762	22.619
75	70.826	123
76	71.857	11.19
77	72	112
78	72.917	1.75
79	73.167	100.89
80	74.5	89.778
81	75.75	78.75
82	76.842	67.842
83	78	57
84	79	45.5
85	80.222	34.5
86	81.714	23.619
87	82.043	124.09
88	83.28	12.6
89	83.5	113.08
90	84.333	2.0556
91	84.667	101.86
92	85.842	90.842
93	86.889	79.722
94	88.25	68.75
95	89.471	57.647
96	90.632	46.789
97	91.75	35.75
98	92.9	24.7
99	93.4	125.28
100	94.391	13.783
101	95.6	2.6
102	94.909	114.09
103	95.9	102.95
104	97.136	92
105	98	81
106	99.1	69.95
107	100.84	58.842
108	102	48
109	103.16	36.842
110	104.25	25.75
111	105.38	14.762
112	105	126.17
113	106.5	3.5769
114	106.09	115.22
115	107.12	104
116	109.55	82.136
117	108.41	93.118
118	110.83	71
119	111.91	60.091
120	113.14	49
121	114.5	37.778
122	116.62	15.762
123	115.73	26.955
124	116	126.67
125	117	116.17
126	118.12	4.72
127	118.39	105.52
128	119.73	94.045
129	121	83
130	122	72
131	123.09	61.091
132	124.19	49.952
133	125.59	39.074
134	126.75	28.3
135	126.89	127.22
136	127.15	17
137	127.33	117.5
138	127.62	6
139	128	106;
